Gaddiel Morales
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,25565


Experiment #:,0
Rule:,0112132424441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
12,12,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,21
Rule:,0331421344142
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9902092817892405,2.199687794731328,0.999985,
1,5,,0.848,0.8461538461538461,1.9902092817892405,2.199687794731328,0.882745,
2,6,,0.696,0.7692307692307692,1.9647235444904063,2.199687794731328,0.81014,
3,3,,0.616,0.6923076923076923,1.8033897082657169,2.103909910282364,0.683115,
4,9,,0.536,0.6153846153846154,1.7648271549103371,2.0758692966977272,0.58816,
5,8,,0.41600000000000004,0.5384615384615384,1.5993236415665393,1.9877733714879842,0.36989000000000005,
6,2,,0.368,0.46153846153846156,1.5193381245450177,1.8810947601100745,0.430725,
7,4,,0.248,0.3846153846153846,1.136706841121749,1.7004397181410922,0.0013300000000000534,
8,11,,0.22399999999999998,0.3076923076923077,0.9822643920634289,1.3520301017579528,0.0012750000000000261,
9,7,,0.07999999999999996,0.23076923076923073,0.5058161377413386,1.1451104143815827,0.0011849999999999916,
10,10,,0.03200000000000003,0.15384615384615385,0.23028557096297186,0.7732283485249176,0.0010350000000000081,
11,1,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0010099999999999554,
12,12,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,22
Rule:,0233111411344
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.4976847458163913,2.0758692966977272,0.999975,
1,11,,0.968,0.8461538461538461,1.5728597286531305,2.133937566094917,0.99993,
2,8,,0.848,0.7692307692307692,1.8982338857258747,2.199687794731328,0.90812,
3,9,,0.768,0.6923076923076923,1.9987657241048988,2.199687794731328,0.7327,
4,2,,0.72,0.6153846153846154,1.9624780351100695,2.1339375660949167,0.6392,
5,6,,0.5680000000000001,0.5384615384615384,1.9522287541561045,2.045841640885174,0.5771850000000001,
6,5,,0.42400000000000004,0.46153846153846156,1.7473565302975604,1.8810947601100745,0.35534,
7,4,,0.30400000000000005,0.3846153846153846,1.2857715294906393,1.5465935642949382,0.35097500000000004,
8,10,,0.256,0.3076923076923077,1.15117179954599,1.3520301017579528,0.34591000000000005,
9,7,,0.11199999999999999,0.23076923076923073,0.6285496477348962,1.1451104143815827,0.34443,
10,12,,0.10399999999999998,0.15384615384615385,0.562600926890177,0.7732283485249176,0.344425,
11,1,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,0.346155,
12,3,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,23
Rule:,0233421213111
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9485005297703677,2.075869296697727,0.99999,
1,5,,0.848,0.8461538461538461,2.2139517129851325,2.133937566094917,0.83377,
2,11,,0.8240000000000001,0.7692307692307692,2.23921960239399,2.199687794731328,0.81992,
3,4,,0.704,0.6923076923076923,1.9509082425210076,1.95006375643621,0.6662,
4,12,,0.696,0.6153846153846154,1.951796541811102,1.922023142851573,0.6662399999999999,
5,9,,0.616,0.5384615384615384,1.8682323669943757,1.8339272176418302,0.625065,
6,7,,0.472,0.46153846153846156,1.5212880992595599,1.6691803368667308,0.56392,
7,3,,0.392,0.3846153846153846,1.3019100660725078,1.4885252948977485,0.19310000000000005,
8,1,,0.368,0.3076923076923077,1.1546996614155867,1.1401156785146092,0.09147000000000005,
9,2,,0.31999999999999995,0.23076923076923073,0.9043814577244937,0.7793498372920851,0.0013649999999999496,
10,10,,0.272,0.15384615384615385,0.8443198937773437,0.6193821946787638,0.001314999999999955,
11,6,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0011250000000000426,
12,8,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,24
Rule:,0221232434234
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.883073786892954,2.0758692966977272,0.999995,
1,7,,0.848,0.8461538461538461,2.0600104132790436,2.1339375660949167,0.97152,
2,1,,0.8240000000000001,0.7692307692307692,2.089130889506485,2.199687794731328,0.993635,
3,9,,0.744,0.6923076923076923,1.8984208368267315,2.103909910282364,0.966885,
4,4,,0.624,0.6153846153846154,1.8939255434489752,2.075869296697727,0.6266700000000001,
5,2,,0.5760000000000001,0.5384615384615384,1.8536821259659706,1.9877733714879842,0.003249999999999975,
6,11,,0.552,0.46153846153846156,1.8378437465237145,1.8810947601100745,0.0032799999999999496,
7,6,,0.4,0.3846153846153846,1.5069405752283223,1.7004397181410922,0.0020449999999999635,
8,3,,0.31999999999999995,0.3076923076923077,1.1516002005432024,1.3520301017579528,0.0014049999999999896,
9,12,,0.31200000000000006,0.23076923076923073,1.0887158858817965,0.9912642605354287,0.0014049999999999896,
10,8,,0.19199999999999995,0.15384615384615385,0.8614020063563284,0.7732283485249176,0.0012499999999999734,
11,5,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0010700000000000154,
12,10,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,25
Rule:,0443323234211
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6676731292662095,2.199687794731328,1.0,
1,5,,0.848,0.8461538461538461,1.9534940011379862,2.257756064128518,0.958095,
2,10,,0.8,0.7692307692307692,1.950251345157235,2.199687794731328,0.795705,
3,1,,0.776,0.6923076923076923,1.9358600626147018,2.161978179679554,0.78984,
4,6,,0.624,0.6153846153846154,1.9977726858596463,2.133937566094917,0.60932,
5,11,,0.6,0.5384615384615384,1.8927556181805483,1.9877733714879842,0.59831,
6,9,,0.52,0.46153846153846156,1.7029124081637337,1.8230264907128848,0.35563,
7,8,,0.4,0.3846153846153846,1.5751744321673051,1.7004397181410922,0.35207999999999995,
8,2,,0.352,0.3076923076923077,1.3283210446302123,1.3520301017579528,0.35065500000000005,
9,12,,0.344,0.23076923076923073,1.2659897314699862,0.9912642605354287,0.347475,
10,4,,0.22399999999999998,0.15384615384615385,0.978028471326194,0.7732283485249176,0.34926,
11,7,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,0.34479499999999996,
12,3,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,26
Rule:,0342111232214
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7425850051079892,2.161978179679554,0.999995,
1,10,,0.944,0.8461538461538461,1.9117230951462423,2.2577560641285177,0.99997,
2,6,,0.792,0.7692307692307692,2.146103382943585,2.295465679180292,0.82805,
3,5,,0.648,0.6923076923076923,2.0905441147642967,2.2577560641285177,0.677805,
4,2,,0.6,0.6153846153846154,1.911933444249961,2.133937566094917,0.023279999999999967,
5,3,,0.52,0.5384615384615384,1.8526908958137085,2.0458416408851736,0.0023050000000000015,
6,9,,0.43999999999999995,0.46153846153846156,1.7319781945498265,1.8810947601100747,0.002075000000000049,
7,12,,0.43200000000000005,0.3846153846153846,1.6713203201603486,1.5465935642949382,0.001994999999999969,
8,4,,0.31200000000000006,0.3076923076923077,1.3055366329943499,1.3520301017579528,0.0014049999999999896,
9,7,,0.16800000000000004,0.23076923076923073,0.7525101389436977,0.9912642605354287,0.0011999999999999789,
10,1,,0.14400000000000002,0.15384615384615385,0.6882225728123753,0.7732283485249176,0.0011750000000000371,
11,8,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0010149999999999881,
12,11,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,27
Rule:,0214312413214
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.0212952992429787,2.199687794731328,1.0,
1,7,,0.848,0.8461538461538461,2.1982319256290683,2.2577560641285177,0.878025,
2,11,,0.8240000000000001,0.7692307692307692,2.2218301045609707,2.295465679180292,0.85638,
3,5,,0.6799999999999999,0.6923076923076923,2.214809244335369,2.2577560641285177,0.7037450000000001,
4,6,,0.528,0.6153846153846154,1.9898316178375925,2.1920058354921066,0.600745,
5,4,,0.40800000000000003,0.5384615384615384,1.7534597350479995,2.045841640885174,0.26690499999999995,
6,3,,0.32799999999999996,0.46153846153846156,1.4382488018330928,1.8810947601100747,0.28908500000000004,
7,8,,0.20799999999999996,0.3846153846153846,1.097266793829585,1.7004397181410922,0.26431000000000004,
8,2,,0.16000000000000003,0.3076923076923077,0.8318292021277086,1.3520301017579528,0.0011449999999999516,
9,9,,0.07999999999999996,0.23076923076923073,0.4396988376894153,0.9912642605354288,0.0010700000000000154,
10,10,,0.03200000000000003,0.15384615384615385,0.23028557096297186,0.7732283485249176,0.0010149999999999881,
11,1,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0010099999999999554,
12,12,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,28
Rule:,0321434421234
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9382690161395415,2.199687794731328,1.0,
1,5,,0.848,0.8461538461538461,2.048818634199963,2.2577560641285177,0.99945,
2,1,,0.8240000000000001,0.7692307692307692,1.9956827513805313,2.199687794731328,0.99943,
3,4,,0.704,0.6923076923076923,2.071812828682473,2.199687794731328,0.99618,
4,3,,0.624,0.6153846153846154,1.9510398642688394,2.075869296697727,0.9174599999999999,
5,8,,0.504,0.5384615384615384,1.7691832029458192,1.9877733714879842,0.36431500000000006,
6,11,,0.48,0.46153846153846156,1.6288724101402208,1.6691803368667308,0.35450499999999996,
7,7,,0.33599999999999997,0.3846153846153846,1.431338959405531,1.5465935642949382,0.34955,
8,6,,0.18400000000000005,0.3076923076923077,0.9111745579531267,1.3520301017579528,0.35157499999999997,
9,10,,0.136,0.23076923076923073,0.7397290351672458,1.1451104143815827,0.34485,
10,12,,0.128,0.15384615384615385,0.6740951058310027,0.7732283485249176,0.34484000000000004,
11,9,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.34140499999999996,
12,2,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,29
Rule:,0111311342443
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8342323390307371,2.0758692966977272,1.0,
1,12,,0.984,0.8461538461538461,1.870302184340198,2.133937566094917,0.99869,
2,8,,0.864,0.7692307692307692,1.9824854379647672,2.1339375660949167,0.999625,
3,2,,0.8160000000000001,0.6923076923076923,2.0501975136322397,2.161978179679554,0.5044,
4,11,,0.792,0.6153846153846154,2.0089978522426137,2.038159681645953,0.50854,
5,10,,0.744,0.5384615384615384,1.8307675136505766,1.7381493331928664,0.5094449999999999,
6,4,,0.624,0.46153846153846156,1.7534929527227234,1.573402452417767,0.501105,
7,9,,0.544,0.3846153846153846,1.4479747620853818,1.2389012566026305,0.49850000000000005,
8,7,,0.4,0.3076923076923077,0.9709505944546686,0.8904916402194913,0.500605,
9,6,,0.248,0.23076923076923073,0.8080927832245586,0.7793498372920851,0.49729,
10,5,,0.10399999999999998,0.15384615384615385,0.4815485438118001,0.6193821946787638,0.49402,
11,3,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.34202,
12,1,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,
