Gaddiel Morales
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,25565


Experiment #:,0
Rule:,0112132424441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
10,9,,0.03200000000000003,0.15384615384615385,0.2043246709802796,0.6193821946787638,0.0010350000000000081,
11,11,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0010149999999999881,
12,12,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,5
Rule:,0323142411312
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9868343652124074,2.199687794731328,1.0,
1,4,,0.872,0.8461538461538461,2.2646219382890256,2.295465679180292,0.90051,
2,8,,0.752,0.7692307692307692,2.23998302516731,2.295465679180292,0.50871,
3,9,,0.6719999999999999,0.6923076923076923,2.05815328329789,2.199687794731328,0.5023599999999999,
4,6,,0.52,0.6153846153846154,1.8006024406586536,2.133937566094917,0.34657499999999997,
5,2,,0.472,0.5384615384615384,1.601681707164705,1.9877733714879842,0.350495,
6,10,,0.42400000000000004,0.46153846153846156,1.500084252711948,1.8810947601100745,0.34753,
7,5,,0.28,0.3846153846153846,1.268296024393047,1.7004397181410922,0.34761,
8,3,,0.19999999999999996,0.3076923076923077,0.9741519325999988,1.5058762556041068,0.0012799999999999478,
9,12,,0.19199999999999995,0.23076923076923073,0.9094020063563284,1.1451104143815827,0.0012550000000000061,
10,11,,0.16800000000000004,0.15384615384615385,0.7525101389436977,0.7732283485249176,0.001214999999999966,
11,7,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0010000000000000009,
12,1,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,6
Rule:,0433332412224
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.915761225328889,2.103909910282364,0.999995,
1,3,,0.912,0.8461538461538461,2.1632520094969467,2.199687794731328,0.972105,
2,9,,0.832,0.7692307692307692,2.248295126456144,2.237397409783102,0.777045,
3,7,,0.688,0.6923076923076923,2.0580189260781188,2.199687794731328,0.5209900000000001,
4,1,,0.6639999999999999,0.6153846153846154,1.9592457643094765,2.075869296697727,0.486,
5,10,,0.616,0.5384615384615384,1.918426355746955,1.9877733714879842,0.48187,
6,4,,0.496,0.46153846153846156,1.8192355667264806,1.8810947601100745,0.150605,
7,11,,0.472,0.3846153846153846,1.7795195359859142,1.7004397181410922,0.15008500000000002,
8,5,,0.32799999999999996,0.3076923076923077,1.4315569230036975,1.5058762556041068,0.06979000000000002,
9,12,,0.31999999999999995,0.23076923076923073,1.368808394537387,1.1451104143815827,0.08616500000000005,
10,2,,0.272,0.15384615384615385,1.1135979330809889,0.7732283485249176,0.0012999999999999678,
11,6,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0011100000000000554,
12,8,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,7
Rule:,0421332313431
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7590869852299482,2.133937566094917,0.999995,
1,11,,0.968,0.8461538461538461,1.87288716449926,2.2577560641285177,0.984165,
2,9,,0.888,0.7692307692307692,2.0903136944351264,2.295465679180292,0.85571,
3,10,,0.84,0.6923076923076923,2.015424450610139,2.199687794731328,0.838985,
4,8,,0.72,0.6153846153846154,1.9439951799807913,2.133937566094917,0.6888650000000001,
5,7,,0.5760000000000001,0.5384615384615384,1.934185644004324,2.0458416408851736,0.6169,
6,12,,0.5680000000000001,0.46153846153846156,1.9153882506535953,1.8810947601100745,0.61626,
7,5,,0.42400000000000004,0.3846153846153846,1.7105160267950512,1.7004397181410922,0.543015,
8,3,,0.344,0.3076923076923077,1.3595929601873493,1.3520301017579528,0.31771000000000005,
9,4,,0.22399999999999998,0.23076923076923073,0.8774415811526233,0.9912642605354288,0.500235,
10,1,,0.19999999999999996,0.15384615384615385,0.7219280948873623,0.6193821946787638,0.49927,
11,2,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,0.0011499999999999844,
12,6,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,8
Rule:,0324244424132
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.4383384740691585,2.038159681645953,1.0,
1,9,,0.912,0.8461538461538461,1.7395684431518086,2.1619781796795534,0.98269,
2,8,,0.792,0.7692307692307692,1.8234451955645483,2.199687794731328,0.7758700000000001,
3,4,,0.6719999999999999,0.6923076923076923,1.6715076886681024,2.161978179679554,0.35363500000000003,
4,5,,0.528,0.6153846153846154,1.6952830814280495,2.133937566094917,0.34696000000000005,
5,11,,0.504,0.5384615384615384,1.604648330792256,1.9877733714879842,0.34883,
6,6,,0.352,0.46153846153846156,1.4613848045647977,1.8810947601100745,0.34785999999999995,
7,12,,0.344,0.3846153846153846,1.432187167005182,1.7004397181410922,0.34014,
8,1,,0.31999999999999995,0.3076923076923077,1.2823945454783154,1.3520301017579528,0.350035,
9,10,,0.272,0.23076923076923073,1.0271840840219173,0.9912642605354287,0.34709500000000004,
10,2,,0.22399999999999998,0.15384615384615385,0.7674044165839726,0.6193821946787638,0.001194999999999946,
11,3,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0011550000000000171,
12,7,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,9
Rule:,0112232333421
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.5932266080750026,2.103909910282364,0.99998,
1,9,,0.912,0.8461538461538461,1.8686469068412386,2.199687794731328,0.780845,
2,6,,0.76,0.7692307692307692,2.0071010520251646,2.237397409783102,0.6660349999999999,
3,3,,0.6799999999999999,0.6923076923076923,1.9581161069404636,2.199687794731328,0.5015000000000001,
4,8,,0.56,0.6153846153846154,1.9427459624625536,2.1339375660949167,0.50718,
5,4,,0.43999999999999995,0.5384615384615384,1.6165758471146077,1.9877733714879842,0.49895999999999996,
6,5,,0.29600000000000004,0.46153846153846156,1.3900036772908246,1.8230264907128848,0.49734,
7,1,,0.272,0.3846153846153846,1.3083114107025942,1.7004397181410922,0.0013849999999999696,
8,2,,0.22399999999999998,0.3076923076923077,1.08166541886526,1.5058762556041068,0.0012999999999999678,
9,7,,0.07999999999999996,0.23076923076923073,0.5058161377413386,1.1451104143815827,0.0010949999999999571,
10,10,,0.03200000000000003,0.15384615384615385,0.23028557096297186,0.7732283485249176,0.0010149999999999881,
11,11,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0010000000000000009,
12,12,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,10
Rule:,0322312241134
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9034467920803668,2.199687794731328,0.99999,
1,9,,0.912,0.8461538461538461,2.102493902321915,2.2577560641285177,0.940295,
2,8,,0.792,0.7692307692307692,1.9412324233886495,2.199687794731328,0.913725,
