,Unnamed: 0,iteration num,generation,avg fitness,best fitness,best genome,solved,num solutions,diversity,n,p_m,p_c,trn_size
91287,0,3147,24.0,0.9682471835038238,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,2.0,1.631974118772195,75,0.01,0.5,3
92422,0,3186,28.0,0.9331762179430296,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,1.4823690657713555,75,0.01,0.5,5
126610,0,4365,25.0,0.9623152206346228,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,1.4068297451897265,100,0.01,0.3,4
92360,0,3184,24.0,0.9790475108597608,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,1.067553897871887,75,0.01,0.5,5
124860,0,4305,15.0,0.9485012722422552,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,1.4466952718197037,100,0.01,0.1,5
126613,0,4365,28.0,0.9348418189924216,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,1.070895162600737,100,0.01,0.3,4
59333,0,2045,28.0,0.8961068874294409,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,2.433073492434428,50,0.03,0.1,4
122321,0,4217,28.0,0.9302090618585684,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,1.2542111136756284,100,0.01,0.0,4
92363,0,3184,27.0,0.9951050568281838,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,1.167220079831141,75,0.01,0.5,5
128440,0,4428,28.0,0.9735200728871404,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,1.6337500121799085,100,0.01,0.5,3
92712,0,3196,28.0,0.9739935940699236,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,3.0,0.6451182310993254,75,0.01,0.5,5
92364,0,3184,28.0,0.979113715835902,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,4.0,1.1563528040976785,75,0.01,0.5,5
129478,0,4464,22.0,0.96459479471846,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,4.0,1.4848049315273903,100,0.01,0.5,5
101673,0,3505,28.0,0.8541764662265018,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,4.0,2.144140684871961,75,0.03,0.5,5
129477,0,4464,21.0,0.9788897499408528,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,5.0,1.5728768992002613,100,0.01,0.5,5
50923,0,1755,28.0,0.9982873109241404,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,5.0,1.401058861926205,50,0.01,0.1,5
124861,0,4305,16.0,0.9778345028521038,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,6.0,1.3706455851560213,100,0.01,0.1,5
124870,0,4305,25.0,0.9790885516530894,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,6.0,1.6305595416355334,100,0.01,0.1,5
124862,0,4305,17.0,0.9709580705702968,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,6.0,1.4620386017177396,100,0.01,0.1,5
124871,0,4305,26.0,0.956375429626292,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,7.0,1.5993123250082342,100,0.01,0.1,5
124868,0,4305,23.0,0.9766414453937726,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,7.0,1.666204634241921,100,0.01,0.1,5
124863,0,4305,18.0,0.966504633398184,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,7.0,1.3447527064681264,100,0.01,0.1,5
126611,0,4365,26.0,0.969197272261236,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,8.0,1.4645981673436497,100,0.01,0.3,4
124872,0,4305,27.0,0.9328939157914438,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,8.0,1.680478028045036,100,0.01,0.1,5
124869,0,4305,24.0,0.9552369731817164,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,8.0,1.6686981097350844,100,0.01,0.1,5
124866,0,4305,21.0,0.9860068195853314,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,8.0,1.5787266532546036,100,0.01,0.1,5
124867,0,4305,22.0,0.979170285679449,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,9.0,1.5839812490746938,100,0.01,0.1,5
124864,0,4305,19.0,0.9737608102597228,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,9.0,1.351241283079384,100,0.01,0.1,5
126612,0,4365,27.0,0.9778280346251212,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,10.0,1.2961724367521932,100,0.01,0.3,4
124873,0,4305,28.0,0.9639628038915384,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,14.0,1.6554608567424691,100,0.01,0.1,5
124865,0,4305,20.0,0.9567637478070056,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,15.0,1.5646483200056482,100,0.01,0.1,5
