,Unnamed: 0,iteration num,generation,avg fitness,best fitness,best genome,solved,num solutions,diversity,n,p_m,p_c,trn_size
97003,0,3344,27.0,0.9216900608146714,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.8741886052118684,75,0.03,0.1,5
128439,0,4428,27.0,0.8905409157723276,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.9257466179348872,100,0.01,0.5,3
129481,0,4464,25.0,0.9571880302251344,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.4128196079646702,100,0.01,0.5,5
139140,0,4797,27.0,0.9242432430405328,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.088953356180285,100,0.03,0.5,5
139137,0,4797,24.0,0.8710522682888902,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.0180041885884368,100,0.03,0.5,5
139136,0,4797,23.0,0.8998443935830146,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.06734175739307,100,0.03,0.5,5
139024,0,4793,27.0,0.9092194959832384,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.295362778202088,100,0.03,0.5,5
138588,0,4778,26.0,0.8120688330705044,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.3173752263064507,100,0.03,0.5,4
131687,0,4540,27.0,0.9399816651700116,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.8879217275830795,100,0.03,0.0,5
131686,0,4540,26.0,0.8513592135488605,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.8860217460149693,100,0.03,0.0,5
